Name;ConservatismIndex;km
Robert Sarah;950;4099
Raymond Leo Burke;947;7709
Stanisław Ryłko;850;1030
Gerhard Ludwig Müller;945;957
Dominique Mamberti;800;1200
Timothy M. Dolan;700;8139
Jean-Pierre Kutwa;647;4382
Péter Erdő;644;808
Emil Paul Tscherrig;644;612
Ángel Fernández Artime SDB;642;1508
Frank Leo;639;6584
Daniel DiNardo;638;7376
Stephen Brislin;230;7905
Kurt Koch;463;666
Filipe Neri Ferrão;632;6495
Odilo Scherer;629;10397
Protase Rugambwa;629;5001
Américo Aguiar;629;1756
Grzegorz Ryś;433;1074
Daniel Sturla SDB;800;11033
Pablo Virgilio David;622;10332
Giuseppe Betori;616;119
Chibly Langlois;613;8274
Stephen Ameyu Martin Mulla;611;4193
Leopoldo Brenes;610;9824
Francisco Robles Ortega;605;10552
Orani João Tempesta OCist;604;9476
John Dew;604;18661
Ignatius Suharyo Hardjoatmodjo;604;11243
Giuseppe Petrocchi;602;138
Anthony Poola;601;6970
Oscar Cantoni;600;525
Mario Zenari;600;407
Arthur Roche;600;1679
Carlos Aguiar Retes;596;10479
Désiré Tsarahazana;593;7339
Manuel Clemente;591;1874
Konrad Krajewski;591;1217
Robert Francis Prevost OSA;583;7745
John Ribat MSC;578;14218
Augusto Paolo Lojudice;577;4
Luis José Rueda Aparicio;577;9156
Arlindo Gomes Furtado;575;4559
Thomas Aquino Manyo Maeda;562;9460
Josip Bozanić;559;412
Baselios Cleemis;559;6777
Sebastian Francis;558;10006
Vinko Puljić;554;498
Domenico Battaglia;554;496
Peter Turkson;550;4275
Angelo De Donatis;550;523
Claudio Gugerotti;453;409
Juan García Rodríguez;549;8470
Timothy Radcliffe OP;549;1431
Joseph Coutts;544;5553
Álvaro Leonel Ramazzini Imeri;536;9875
Fernando Chomalí Garib;535;11905
Ignace Bessi Dogbo;533;4384
Virgílio do Carmo da Silva SDB;532;12620
Thomas Collins;528;7143
Víctor Manuel Fernández;523;11410
Kriengsak Kovitvanit;522;8835
Rainer Woelki;521;1090
Baldassare Reina;518;485
Soane Patita Paini Mafi;516;17597
João Braz de Aviz;515;9898
Sérgio da Rocha;515;9418
Carlos Castillo Mattasoglio;514;10855
Peter Okpaleke;513;4039
Louis Raphaël I Sako;512;2631
Carlos Osoro Sierra;512;1347
Fabio Baggio CS;510;433
Adalberto Martínez Flores;508;10364
George Koovakad;507;7172
James Michael Harvey;506;7675
Wim Eijk;811;1288
Fernando Filoni;502;464
Pietro Parolin;500;426
Robert W. McElroy;500;10045
Marcello Semeraro;500;504
Lazarus You Heung-sik;421;9085
Rolandas Makrickas;500;1818
Paulo Cezar Costa;496;9171
Jean-Paul Vesco OP;494;746
Mario Aurelio Poli;490;11152
Malcolm Ranjith;805;7636
Philippe Barbarin;487;1898
José Cobo Cano;487;1406
Vincent Nichols;478;1723
António Marto;474;1632
Roberto Repole;474;521
Francesco Montenegro;473;489
Antoine Kambanda;472;5212
Kazimierz Nycz;468;1172
Joseph W. Tobin CSsR;466;7406
Gérald Lacroix ISPX;500;6375
Charles Maung Bo SDB;469;7886
William Goh;465;10027
Dieudonné Nzapalainga CSSp;463;4252
Reinhard Marx;459;1123
Jose Advincula OP;456;10778
Cristóbal López Romero SDB;455;1326
Philippe Ouédraogo;451;3443
Jean-Marc Aveline;450;1379
Mauro Gambetti OFMConv;450;301
Tarcisio Isao Kikuchi SVD;445;9614
Ángel Sixto Rossi SJ;442;11299
François-Xavier Bustillo OFMConv;442;1161
Berhaneyesus Demerew Souraphiel CM;419;4515
Anders Arborelius OCD;400;535
Matteo Zuppi;457;4
Giorgio Marengo IMC;400;489
Dominique Mathieu OFMConv;400;1009
Kevin Farrell;233;1881
Fridolin Ambongo Besungu OFMCap;407;4455
Leonardo Ulrich Steiner OFM;353;10097
Jaime Spengler OFM;353;9911
Jozef De Kesel;352;1215
Juan José Omella;351;1025
Wilton Daniel Gregory;350;7740
José Tolentino de Mendonça;323;2761
Mario Grech;350;671
Luis Antonio Tagle;310;10403
Blase J. Cupich;320;8306
Stephen Chow Sau-yan SJ;300;9283
Christophe Pierre;333;1305
Mykola Bychok CSsR;297;1324
Luis Cabrera Herrera OFM;268;10318
Jean-Claude Hollerich SJ;200;987
Pierbattista Pizzaballa OFM;777;464
Vicente Bokalic Iglic CM;233;11157
Ladislav Nemet SVD;202;699
Michael Czerny SJ;220;872
