nombre,x,y,score
JorgeBergoglio,11162,4507,316
LeonardoSandri,11162,4967,314
GeorgePell,15902,4477,225
TelesphorePlacidusToppo,6039,7264,204
FranciscoJavierErrazurizOssa,11921,4617,201
FranciscoRoblesOrtega,10563,3134,197
AgostinoVallini,34,4992,190
AntonioMaraRoucoVarela,1653,817,189
NorbertoRiveraCarrera,10384,2973,188
Theodore-AdrienSarr,4181,185,187
JuanLuisCiprianiThorne,10873,4247,187
JustinFrancisRigali,10201,5295,184
Jean-PierreRicard,603,6396,179
JamesMichaelHarvey,7686,734,179
RogerMahony,10201,5863,175
DominikDuka,961,6394,172
AndreVingt-Trois,1107,925,168
BecharaBoutrosRa,2214,877,168
JohnTongHon,9279,6064,167
RubenSalazarGomez,9392,113,166
JuanSandovalIniguez,10376,1560,164
BaseliosCleemis,7183,6391,164
AntonioMariaVeglio,213,4649,163
VelasiodePaolis,83,5183,163
FrancescoMonterisi,323,5013,160
LuisAntonioTagle,10403,2568,157
OdiloScherer,10408,4399,154
CrescenzioSepe,176,3364,153
JosipBozanic,414,2616,153
JohnOnaiyekan,3843,5956,150
RaulEduardoVelaChiriboga,10234,5526,144
GiovanniLajolo,503,5010,143
LlusMartnezSistach,859,1190,142
JorgeUrosa,8365,1491,141
CarloCaarra,390,3734,141
GiuseppeBetori,119,2871,139
GeorgeAlencherry,6857,5589,134
AngeloAmato,351,2524,133
Jean-LouisTauran,1105,5643,131
RaymundoDamascenoAssis,9062,2676,129
JulioTerrazasSandoval,10325,216,127
RaaeleFarina,220,4609,126
JoaoBrazdeAviz,9911,3119,125
EnnioAntonelli,99,5542,124
SeanPatrickOMalley,8984,5300,122
CarlosAmigoVallejo,1449,2273,121
NicolasdeJesusLopezRodrguez,10836,6034,120
ClaudioHummes,10317,7841,119
MauroPiacenza,401,4179,116
JosePolicarpo,1834,2447,108
AngeloBagnasco,423,4488,108
WilliamLevada,10224,4244,106
ManuelMonteirodeCastro,1755,2327,104
DomenicoCalcagno,432,3643,104
FrancRode,503,4388,101
GiuseppeVersaldi,503,4657,101
RainerWoelki,1092,5499,100
SeverinoPoletto,424,3931,96
StanislawDziwisz,1029,5378,93
AngeloComastri,108,1206,91
OswaldGracias,6183,5309,88
PaoloSardi,453,4891,83
FernandoFiloni,463,4759,80
PhamMinhMan,9557,4600,79
TimothyM.Dolan,8148,5217,79
DionigiTettamanzi,498,4979,76
GiovanniBattistaRe,487,4631,73
OscarAndresRodrguezMaradiaga,9758,4327,71
EdwinFrederickOBrien,6879,5247,70
FrancescoCoccopalmerio,466,3855,69
AntoniosNaguib,2258,5087,66
JohnNjue,9509,4911,62
GianfrancoRavasi,490,3961,61
SeanBrady,1978,5054,60
VinkoPuljic,516,3387,58
GeraldoMajellaAgnelo,9119,3995,45
AntonioCanizaresLlovera,1182,3195,44
SantosAbrilyCastello,1144,3401,43
IvanDias,6183,3299,41
AttilioNicora,527,3602,40
AngeloScola,506,4424,36
JaimeLucasOrtegayAlamino,8653,4770,36
PolycarpPengo,5937,5000,30
PhilippeBarbarin,1093,5004,29
PaoloRomeo,526,4277,26
WilfridNapier,8215,4204,25
ReinhardMarx,1126,3447,24
DanielDiNardo,7382,4941,23
KurtKoch,665,3779,18
GiuseppeBertello,532,3851,18
KazimierzNycz,1140,3629,18
MarcOuellet,7911,4605,16
TarcisioBertone,538,4696,15
DonaldWuerl,7334,4927,14
RaymondLeoBurke,7822,4813,14
StanislawRylko,1033,3675,10
FrancisGeorge,7749,4579,10
KarlLehmann,736,3836,8
WalterKasper,778,4599,7
WimEijk,1293,4842,7
PaulJosefCordes,1077,4852,4
ThomasChristopherCollins,7153,3790,4
AudrysBackis,1671,3826,4
MalcolmRanjith,7643,4509,3
PeterErdo,811,4008,2
GabrielZubeirWako,4098,4474,0
LaurentMonsengwoPasinya,5004,3936,0
PeterTurkson,4319,3887,0
RobertSarah,4165,4077,0
JoachimMeisner,1083,4698,0
AnthonyOlubunmiOkogie,4047,4727,0
ZenonGrocholewski,1335,3877,0
GodfriedDanneels,1231,4043,0
ChristophSchonborn,971,4139,0
Jean-ClaudeTurcotte,6588,4632,0
