cardinal;cx(km);cy(bp)
GeorgePell;15902;4477
FranciscoJavierErrazurizOssa;11921;4617
JorgeBergoglio;11162;4507
LeonardoSandri;11162;4967
Theodore-AdrienSarr;4181;185
JuanLuisCiprianiThorne;10873;4247
TelesphorePlacidusToppo;6039;7264
AgostinoVallini;34;4992
Jean-PierreRicard;603;6396
JamesMichaelHarvey;7686;734
FranciscoRoblesOrtega;10563;3134
DominikDuka;961;6394
AntonioMaraRoucoVarela;1653;817
BaseliosCleemis;7183;6391
OdiloScherer;10408;4399
LuisAntonioTagle;10403;2568
BecharaBoutrosRa;2214;877
NorbertoRiveraCarrera;10384;2973
RubenSalazarGomez;9392;113
AndreVingt-Trois;1107;925
JuanSandovalIniguez;10376;1560
JohnTongHon;9279;6064
AntonioMariaVeglio;213;4649
JorgeUrosa;8365;1491
LlusMartnezSistach;859;1190
VelasiodePaolis;83;5183
CrescenzioSepe;176;3364
RogerMahony;10201;5863
FrancescoMonterisi;323;5013
RaaeleFarina;220;4609
GiuseppeBetori;119;2871
JohnOnaiyekan;3843;5956
AngeloAmato;351;2524
RaulEduardoVelaChiriboga;10234;5526
JosipBozanic;414;2616
Jean-LouisTauran;1105;5643
JustinFrancisRigali;10201;5295
CarloCaarra;390;3734
JoaoBrazdeAviz;9911;3119
GeorgeAlencherry;6857;5589
SeanPatrickOMalley;8984;5300
JulioTerrazasSandoval;10325;216
RaymundoDamascenoAssis;9062;2676
CarlosAmigoVallejo;1449;2273
MauroPiacenza;401;4179
ManuelMonteirodeCastro;1755;2327
WilliamLevada;10224;4244
RainerWoelki;1092;5499
DomenicoCalcagno;432;3643
NicolasdeJesusLopezRodrguez;10836;6034
EnnioAntonelli;99;5542
JosePolicarpo;1834;2447
AngeloBagnasco;423;4488
StanislawDziwisz;1029;5378
ClaudioHummes;10317;7841
SeverinoPoletto;424;3931
AngeloComastri;108;1206
IvanDias;6183;3299
PaoloSardi;453;4891
TimothyM.Dolan;8148;5217
GiovanniLajolo;503;5010
OscarAndresRodrguezMaradiaga;9758;4327
FernandoFiloni;463;4759
JohnNjue;9509;4911
DionigiTettamanzi;498;4979
EdwinFrederickOBrien;6879;5247
PhamMinhMan;9557;4600
FrancescoCoccopalmerio;466;3855
GiovanniBattistaRe;487;4631
VinkoPuljic;516;3387
GianfrancoRavasi;490;3961
AntoniosNaguib;2258;5087
SeanBrady;1978;5054
FrancRode;503;4388
GiuseppeVersaldi;503;4657
GeraldoMajellaAgnelo;9119;3995
AntonioCanizaresLlovera;1182;3195
AttilioNicora;527;3602
OswaldGracias;6183;5309
AngeloScola;506;4424
PhilippeBarbarin;1093;5004
JaimeLucasOrtegayAlamino;8653;4770
PolycarpPengo;5937;5000
SantosAbrilyCastello;1144;3401
PaoloRomeo;526;4277
ReinhardMarx;1126;3447
WilfridNapier;8215;4204
DanielDiNardo;7382;4941
GiuseppeBertello;532;3851
KazimierzNycz;1140;3629
MarcOuellet;7911;4605
KurtKoch;665;3779
DonaldWuerl;7334;4927
RaymondLeoBurke;7822;4813
TarcisioBertone;538;4696
StanislawRylko;1033;3675
FrancisGeorge;7749;4579
KarlLehmann;736;3836
PaulJosefCordes;1077;4852
MalcolmRanjith;7643;4509
ThomasChristopherCollins;7153;3790
WalterKasper;778;4599
WimEijk;1293;4842
PeterErdo;811;4008
AudrysBackis;1671;3826
ChristophSchonborn;971;4139
JoachimMeisner;1083;4698
GodfriedDanneels;1231;4043
ZenonGrocholewski;1335;3877
AnthonyOlubunmiOkogie;4047;4727
GabrielZubeirWako;4098;4474
RobertSarah;4165;4077
PeterTurkson;4319;3887
LaurentMonsengwoPasinya;5004;3936
Jean-ClaudeTurcotte;6588;4632
