nombre,x,y,score
Augusto Paolo Lojudice,577,4,375
Matteo Zuppi,457,4,361
Giorgio Marengo IMC,400,489,337
Odilo Scherer,629,10397,289
Emil Paul Tscherrig,644,612,285
Dominique Mamberti,800,1200,282
Mario Grech,350,671,281
PÃ©ter ErdÅ,644,808,280
Kevin Farrell,233,1881,276
Anders Arborelius OCD,400,535,266
Robert Sarah,950,4099,256
Jean-Claude Hollerich SJ,200,987,250
Leonardo Ulrich Steiner OFM,353,10097,248
Ignatius Suharyo Hardjoatmodjo,604,11243,242
Malcolm Ranjith,805,7636,240
Wilton Daniel Gregory,350,7740,237
Stephen Brislin,230,7905,236
StanisÅaw RyÅko,850,1030,235
Gerhard Ludwig MÃ¼ller,945,957,234
Jaime Spengler OFM,353,9911,233
Mario Zenari,600,407,233
Mauro Gambetti OFMConv,450,301,232
Raymond Leo Burke,947,7709,232
Ladislav Nemet SVD,202,699,229
Wim Eijk,811,1288,226
AmÃ©rico Aguiar,629,1756,226
Protase Rugambwa,629,5001,226
Soane Patita Paini Mafi,516,17597,225
Dominique Mathieu OFMConv,400,1009,222
Fernando Filoni,502,464,220
Claudio Gugerotti,453,409,217
John Ribat MSC,578,14218,216
Francesco Montenegro,473,489,215
Stephen Chow Sau-yan SJ,300,9283,212
Giuseppe Petrocchi,602,138,211
Ãngel Sixto Rossi SJ,442,11299,210
Pierbattista Pizzaballa OFM,777,464,208
Daniel Sturla SDB,800,11033,208
John Dew,604,18661,205
Michael Czerny SJ,220,872,202
VirgÃ­lio do Carmo da Silva SDB,532,12620,201
VÃ­ctor Manuel FernÃ¡ndez,523,11410,199
Mykola Bychok CSsR,297,1324,197
Fernando ChomalÃ­ Garib,535,11905,196
Timothy M. Dolan,700,8139,193
Blase J. Cupich,320,8306,191
Giuseppe Betori,616,119,189
Josip BozaniÄ,559,412,189
Francisco Robles Ortega,605,10552,188
Pablo Virgilio David,622,10332,186
Luis Cabrera Herrera OFM,268,10318,185
Fabio Baggio CS,510,433,184
Luis Antonio Tagle,310,10403,183
Pietro Parolin,500,426,179
Mario Aurelio Poli,490,11152,179
Jean-Pierre Kutwa,647,4382,179
JosÃ© Tolentino de MendonÃ§a,323,2761,167
Carlos Castillo Mattasoglio,514,10855,165
Christophe Pierre,333,1305,165
Jose Advincula OP,456,10778,159
Juan JosÃ© Omella,351,1025,159
Carlos Aguiar Retes,596,10479,156
Baldassare Reina,518,485,153
Vicente Bokalic Iglic CM,233,11157,151
Oscar Cantoni,600,525,146
Ãngel FernÃ¡ndez Artime SDB,642,1508,142
Frank Leo,639,6584,134
Jozef De Kesel,352,1215,133
Filipe Neri FerrÃ£o,632,6495,131
Daniel DiNardo,638,7376,125
Marcello Semeraro,500,504,121
Orani JoÃ£o Tempesta OCist,604,9476,120
Adalberto MartÃ­nez Flores,508,10364,120
Vinko PuljiÄ,554,498,115
Leopoldo Brenes,610,9824,111
Domenico Battaglia,554,496,111
Roberto Repole,474,521,106
Tarcisio Isao Kikuchi SVD,445,9614,102
Kurt Koch,463,666,101
Angelo De Donatis,550,523,101
William Goh,465,10027,95
Fridolin Ambongo Besungu OFMCap,407,4455,86
FranÃ§ois-Xavier Bustillo OFMConv,442,1161,85
Lazarus You Heung-sik,421,9085,84
Stephen Ameyu Martin Mulla,611,4193,83
Robert W. McElroy,500,10045,81
Chibly Langlois,613,8274,81
Grzegorz RyÅ,433,1074,78
Sebastian Francis,558,10006,76
Berhaneyesus Demerew Souraphiel CM,419,4515,66
Jean-Paul Vesco OP,494,746,59
Jean-Marc Aveline,450,1379,58
Ãlvaro Leonel Ramazzini Imeri,536,9875,57
JoÃ£o Braz de Aviz,515,9898,57
Arthur Roche,600,1679,57
Thomas Aquino Manyo Maeda,562,9460,43
Luis JosÃ© Rueda Aparicio,577,9156,33
SÃ©rgio da Rocha,515,9418,32
Anthony Poola,601,6970,31
Philippe OuÃ©draogo,451,3443,30
Konrad Krajewski,591,1217,28
CristÃ³bal LÃ³pez Romero SDB,455,1326,26
Rainer Woelki,521,1090,25
Paulo Cezar Costa,496,9171,24
Manuel Clemente,591,1874,23
DieudonnÃ© Nzapalainga CSSp,463,4252,21
Reinhard Marx,459,1123,19
Kriengsak Kovitvanit,522,8835,16
Robert Francis Prevost OSA,583,7745,13
Kazimierz Nycz,468,1172,13
DÃ©sirÃ© Tsarahazana,593,7339,12
Juan GarcÃ­a RodrÃ­guez,549,8470,6
Joseph W. Tobin CSsR,466,7406,4
Antoine Kambanda,472,5212,3
John Njue,570,5344,2
Charles Maung Bo SDB,469,7886,1
Arlindo Gomes Furtado,575,4559,1
Baselios Cleemis,559,6777,0
Peter Turkson,550,4275,0
Timothy Radcliffe OP,549,1431,0
Joseph Coutts,544,5553,0
Ignace Bessi Dogbo,533,4384,0
Thomas Collins,528,7143,0
Louis RaphaÃ«l I Sako,512,2631,0
Peter Okpaleke,513,4039,0
GÃ©rald Lacroix ISPX,500,6375,0
Carlos Osoro Sierra,512,1347,0
George Koovakad,507,7172,0
James Michael Harvey,506,7675,0
Rolandas Makrickas,500,1818,0
JosÃ© Cobo Cano,487,1406,0
Vincent Nichols,478,1723,0
AntÃ³nio Marto,474,1632,0
Philippe Barbarin,487,1898,0
